movie_id,name_rus,kp_rating,movie_duration,kp_rating_count,movie_year,imdb_rating,imdb_rating_count,genres,countries,budget,critics_rating,name_eng
737543,Ночь в музее: Секрет гробницы,6.595,98,31261.0,2014,6.2,61074.0,"фэнтези, комедия, приключения, семейный","США, Великобритания",$127 000 000,50.0,Night at the Museum: Secret of the Tomb
737668,Хитмэн: Агент 47,5.634,96,22716.0,2015,5.7,55655.0,"боевик, фантастика, триллер, криминал","США, Германия, Великобритания",$35 000 000,8.0,Hitman: Agent 47
7377,Проект Икс,6.275,108,179.0,1987,6.0,8063.0,"фантастика, триллер, драма, комедия",США,$18 000 000,78.0,Project X
738,Жизнь Дэвида Гейла,8.075,130,88127.0,2002,7.5,85697.0,"триллер, драма, криминал","США, Германия, Великобритания",$38 000 000,19.0,The Life of David Gale
739029,Резня на пляже в Джерси,3.008,88,210.0,2014,2.8,819.0,"ужасы, комедия",США,$1 400 000,17.0,Jersey Shore Massacre
7394,Осада,6.709,116,5968.0,1998,6.3,55467.0,"боевик, триллер, драма, криминал",США,$70 000 000,45.0,The Siege
739423,Спасение,6.257,92,5624.0,2014,6.8,19044.0,"драма, вестерн","Дания, Великобритания, ЮАР, Швеция, Бельгия",€10 500 000,70.0,The Salvation
739642,Эверест,7.215,121,62940.0,2015,7.1,110050.0,"триллер, драма, приключения, биография, история","США, Великобритания, Исландия",$55 000 000,72.0,Everest
7397,Реликт,5.943,110,753.0,1997,5.7,18415.0,"ужасы, фантастика, триллер, детектив","Великобритания, Германия, Япония, Новая Зеландия, США",$40 000 000,31.0,The Relic
739892,Кибер,5.422,133,13082.0,2015,5.4,35481.0,"боевик, триллер, драма, криминал, детектив",США,$70 000 000,34.0,Blackhat
7399,Семейка Брэди,5.596,90,250.0,1995,5.9,16925.0,"комедия, семейный",США,$12 000 000,63.0,The Brady Bunch Movie
739944,Дальняя дорога,7.493,128,15815.0,2015,7.1,43557.0,"драма, мелодрама",США,$34 000 000,30.0,The Longest Ride
740,Лило и Стич,7.562,85,26330.0,2002,7.2,109771.0,"мультфильм, фантастика, фэнтези, драма, комедия, приключения, семейный, музыка",США,$80 000 000,86.0,Lilo & Stitch
7402,Ультравысокая частота,6.001,97,195.0,1989,7.0,20817.0,комедия,США,$5 000 000,63.0,UHF
740360,Акулий торнадо (ТВ),3.303,86,1324.0,2013,3.3,27456.0,"ужасы, фантастика",США,$1 000 000,82.0,Sharknado
7406,Волшебники,6.853,80,407.0,1976,6.5,7158.0,"мультфильм, фантастика, фэнтези, приключения",США,$1 200 000,61.0,Wizards
740644,Ярость,7.381,134,70202.0,2014,7.6,284444.0,"боевик, драма, военный","США, Китай, Великобритания",$68 000 000,77.0,Fury
7409,Капля,6.72,95,1723.0,1988,6.4,21694.0,"ужасы, фантастика",США,$9 000 000,61.0,The Blob
7410,Робокоп,7.63,102,52075.0,1987,7.5,169136.0,"фантастика, боевик",США,$13 000 000,88.0,RoboCop
741205,Ив Сен-Лоран,6.159,105,5884.0,2013,6.2,7106.0,"драма, мелодрама, биография","Франция, Бельгия",€12 000 000,44.0,Yves Saint Laurent
74147,Летняя игра,7.482,96,319.0,1951,7.7,2981.0,"драма, мелодрама",Швеция,SEK 434 000,100.0,Sommarlek
7415,Бриллиантовый полицейский,7.604,93,28972.0,1999,6.3,59287.0,"боевик, триллер, комедия, криминал","США, Германия",$65 000 000,36.0,Blue Streak
742,Любовь и баскетбол,7.734,124,1522.0,2000,7.2,13412.0,"драма, мелодрама, спорт",США,$20 000 000,82.0,Love & Basketball
7422,Честная игра,5.941,91,975.0,1995,4.1,9865.0,"боевик, триллер, криминал",США,$50 000 000,13.0,Fair Game
7425,Голубое небо,6.954,101,381.0,1991,6.4,5029.0,"драма, мелодрама",США,$16 000 000,74.0,Blue Sky
742531,Пришествие Дьявола,4.095,89,3820.0,2014,4.0,13183.0,"ужасы, детектив",США,$7 000 000,18.0,Devil's Due
7426,Гавана,6.895,138,441.0,1990,6.0,5408.0,"драма, мелодрама, военный",США,$40 000 000,24.0,Havana
743,Обаятельная и привлекательная,6.257,91,375.0,2001,6.9,5909.0,"драма, мелодрама, комедия",США,$250 000,86.0,Lovely & Amazing
7430,Вампиры,6.896,108,6975.0,1998,6.1,40765.0,"ужасы, боевик, триллер","США, Япония",$20 000 000,36.0,Vampires
7431,Трансеры,5.669,76,267.0,1984,6.1,3569.0,"фантастика, боевик",США,$400 000,83.0,Trancers
7434,Верхом на пуле,6.269,98,3142.0,2004,5.2,7154.0,"ужасы, триллер","США, Германия, Канада",$5 000 000,27.0,Riding the Bullet
743970,"Два дня, одна ночь",6.448,95,6177.0,2014,7.4,30227.0,драма,"Бельгия, Франция, Италия",€7 000 000,97.0,"Deux jours, une nuit"
7440,Кэрри 2: Ярость,5.286,104,1358.0,1999,4.6,12768.0,"ужасы, фантастика, триллер",США,$21 000 000,21.0,The Rage: Carrie 2
744284,Голые перцы,5.44,89,3496.0,2014,5.5,2557.0,комедия,США,$20 000 000,0.0,Search Party
7443,Худеющий,6.818,93,10840.0,1996,5.7,18764.0,"ужасы, триллер",США,$14 000 000,16.0,Thinner
744668,Синистер 2,5.137,97,10525.0,2015,5.3,20685.0,"ужасы, триллер, детектив","США, Великобритания",$10 000 000,13.0,Sinister 2
